"","","","2018 [2018]","2018 [2018]","2018 [2018]","2018 [2018]","2019 [2019]","2019 [2019]","2019 [2019]","2019 [2019]","2020 [2020]","2020 [2020]","2020 [2020]","2020 [2020]"
"","","","Unit","Value","Flag Description","Note","Unit","Value","Flag Description","Note","Unit","Value","Flag Description","Note"
"China, mainland [41]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","9,732.726567","International reliable sources","","US$","9,959.637355","International reliable sources","","US$","10,228.970558","International reliable sources",""
"Colombia [44]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","6,729.584484","International reliable sources","","US$","6,424.979431","International reliable sources","","US$","5,332.77279","International reliable sources",""
"Comoros [45]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,428.290313","International reliable sources","","US$","1,401.550515","International reliable sources","","US$","1,420.651905","International reliable sources",""
"Congo [46]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","2,547.519151","International reliable sources","","US$","2,327.854806","International reliable sources","","US$","1,830.382491","International reliable sources",""
"Cook Islands [47]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","20,705.211245","International reliable sources","","US$","20,332.551756","International reliable sources","","US$","16,134.977948","International reliable sources",""
"Costa Rica [48]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","12,468.580253","International reliable sources","","US$","12,669.706175","International reliable sources","","US$","12,076.805961","International reliable sources",""
"Croatia [98]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","14,976.374623","International reliable sources","","US$","15,070.610877","International reliable sources","","US$","13,934.241955","International reliable sources",""
"Cuba [49]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","8,824.203348","International reliable sources","","US$","9,125.879485","International reliable sources","","US$","9,477.852873","International reliable sources",""
"Curaçao [279]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","19,218.863309","International reliable sources","","US$","18,980.123691","International reliable sources","","US$","15,819.210502","International reliable sources",""
"Cyprus [50]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","29,618.250138","International reliable sources","","US$","29,659.349246","International reliable sources","","US$","28,133.071159","International reliable sources",""
"Czechia [167]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","23,341.237818","International reliable sources","","US$","23,621.769604","International reliable sources","","US$","22,910.628937","International reliable sources",""
"Côte d'Ivoire [107]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","2,314.03166","International reliable sources","","US$","2,276.340329","International reliable sources","","US$","2,317.925719","International reliable sources",""
"Democratic People's Republic of Korea [116]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","687.943178","International reliable sources","","US$","639.55639","International reliable sources","","US$","617.887235","International reliable sources",""
"Democratic Republic of the Congo [250]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","560.807362","International reliable sources","","US$","545.216282","International reliable sources","","US$","505.883924","International reliable sources",""
"Denmark [54]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","62,036.404698","International reliable sources","","US$","60,216.357595","International reliable sources","","US$","61,476.596929","International reliable sources",""
